aX,aY,aZ,gX,gY,gZ
1.849,0.718,0.109,26.855,-23.865,-173.523
1.794,0.834,0.118,16.357,-9.277,-141.235
1.751,0.967,0.118,8.362,5.554,-111.328
1.687,1.073,0.154,5.981,15.930,-82.581
1.550,0.835,0.312,8.972,22.583,-58.838
1.446,0.782,0.511,10.803,27.100,-59.204
1.413,1.034,0.580,4.883,24.902,-70.801
1.333,1.090,0.532,-8.911,17.578,-59.998
1.154,1.044,0.426,-16.968,9.155,-43.213
0.905,1.007,0.374,-12.634,-1.953,-34.485
0.744,0.945,0.353,-1.831,-14.099,-28.198
0.631,0.896,0.329,7.080,-20.447,-22.827
0.495,0.791,0.349,11.108,-22.522,-14.893
0.383,0.698,0.407,9.644,-18.372,-4.944
0.245,0.574,0.454,4.211,-14.221,4.761
0.103,0.464,0.489,-0.977,-14.771,9.705
-0.002,0.385,0.506,-1.709,-18.188,7.935
-0.049,0.327,0.529,2.991,-23.376,3.784
-0.059,0.341,0.508,10.193,-28.931,1.587
-0.111,0.314,0.493,15.503,-32.043,7.141
-0.184,0.223,0.510,17.517,-26.611,16.541
-0.258,0.123,0.565,16.541,-13.245,22.095
-0.298,0.079,0.597,13.855,-0.427,24.536
-0.335,0.015,0.654,13.306,7.751,25.452
-0.366,-0.067,0.741,14.343,13.184,24.841
-0.394,-0.128,0.848,15.747,16.113,22.034
-0.429,-0.147,0.906,16.296,14.526,18.555
-0.444,-0.155,0.941,17.090,12.817,15.015
-0.448,-0.191,1.010,18.799,12.024,12.207
-0.439,-0.210,1.057,16.296,13.184,9.521
-0.396,-0.197,1.097,11.292,13.428,7.812
-0.390,-0.187,1.103,4.944,10.071,9.827
-0.344,-0.176,1.079,-0.366,13.367,12.024
-0.347,-0.151,1.074,-5.005,9.155,12.268
-0.315,-0.092,1.037,-5.066,7.141,7.202
-0.282,-0.026,1.006,-0.549,2.930,4.028
-0.260,-0.010,0.993,5.310,-3.540,2.625
-0.239,0.001,0.968,10.925,-6.836,0.366
-0.187,-0.012,0.953,15.259,-5.310,-0.977
-0.189,-0.049,0.991,16.968,-3.052,-2.686
-0.161,-0.051,1.015,17.883,-0.977,-5.432
-0.109,-0.037,1.041,18.188,0.732,-6.592
-0.083,-0.022,1.060,16.724,3.479,-5.676
-0.084,-0.020,1.080,13.428,6.348,-3.662
-0.087,-0.013,1.078,10.681,8.179,-2.075
-0.086,-0.010,1.086,8.667,7.996,-0.488
-0.093,-0.030,1.106,7.385,6.714,1.404
-0.107,-0.035,1.106,6.653,2.747,1.465
-0.127,-0.046,1.096,6.287,-3.845,1.343
-0.027,0.013,1.001,-12.085,-6.714,-0.183
-0.026,0.017,0.998,-12.817,-8.057,-0.732
-0.019,0.015,0.991,-12.390,-10.437,-1.099
-0.010,0.008,0.984,-12.207,-12.024,-1.648
0.001,0.003,0.981,-12.512,-12.634,-2.258
0.009,-0.001,0.990,-12.939,-13.245,-2.686
0.016,-0.002,0.994,-13.428,-14.526,-3.174
0.021,-0.007,0.990,-15.015,-15.198,-3.723
0.030,-0.017,0.982,-18.250,-14.648,-4.089
0.031,-0.020,0.975,-22.339,-13.977,-4.700
0.033,-0.013,0.954,-26.428,-13.733,-5.981
0.035,-0.010,0.931,-30.334,-14.771,-7.751
0.060,-0.023,0.896,-34.363,-17.639,-9.338
0.100,-0.019,0.859,-39.001,-20.508,-10.742
0.102,-0.040,0.817,-41.748,-23.926,-13.245
0.134,-0.042,0.778,-44.800,-30.762,-14.893
0.186,-0.036,0.671,-48.950,-40.466,-14.404
0.220,-0.040,0.551,-52.856,-50.171,-15.320
0.233,-0.041,0.427,-57.983,-58.533,-14.771
0.264,-0.047,0.261,-65.247,-65.186,-11.658
0.299,-0.029,0.088,-73.608,-71.472,-8.179
0.289,0.032,-0.125,-81.360,-79.956,-5.798
0.299,0.084,-0.355,-83.496,-90.759,-5.676
0.298,0.206,-0.678,-80.872,-104.553,-7.629
0.323,0.431,-1.099,-72.021,-116.821,-12.146
0.311,0.658,-1.593,-41.199,-125.305,-15.808
0.349,0.792,-1.944,11.047,-117.798,-13.489
0.381,0.780,-2.057,75.256,-86.304,-10.559
0.395,0.682,-1.985,128.235,-28.564,-4.211
0.400,0.507,-1.739,157.166,48.706,9.338
0.434,0.361,-1.516,160.461,128.540,26.184
0.516,0.132,-1.117,147.949,200.378,43.945
0.536,-0.057,-0.738,131.653,251.648,58.289
0.564,-0.155,-0.415,121.033,283.081,62.988
0.538,-0.295,0.085,131.226,297.607,59.814
0.496,-0.620,0.665,156.799,295.166,56.519
0.471,-0.888,1.189,175.110,284.607,50.049
0.481,-1.099,1.727,178.162,277.954,40.222
0.531,-1.220,2.094,170.776,271.301,30.884
0.553,-1.207,2.376,160.950,261.414,22.217
0.782,-1.258,2.734,155.701,255.066,18.127
0.927,-1.163,2.860,146.118,233.826,16.052
1.910,-1.087,3.071,134.094,205.261,15.991
0.997,-0.691,3.405,116.333,130.066,58.167
0.911,-1.248,3.375,114.807,16.907,55.054
0.800,-1.265,2.698,119.568,42.175,23.621
0.603,-1.184,2.846,111.938,93.079,-1.404
2.389,-1.617,4.000,76.782,45.715,8.911
-0.069,-0.762,1.998,-18.066,-30.090,77.942
0.245,-1.416,2.869,69.397,40.283,50.842
0.071,-1.543,2.881,61.829,8.362,21.545
0.156,-1.338,3.064,36.072,-15.503,26.123
0.238,-1.543,3.149,19.104,-16.174,25.879
0.081,-1.622,3.023,-10.864,-15.564,17.273
-0.030,-1.619,2.768,-30.396,-39.673,4.517
-0.033,-1.578,2.502,-30.762,-60.425,-20.935
-0.037,-1.569,2.329,-24.292,-77.332,-46.509
0.020,-1.504,2.150,-24.353,-82.825,-65.796
0.225,-1.340,2.039,-35.950,-83.130,-73.608
0.068,-1.281,1.802,-56.580,-89.050,-59.692
0.105,-1.488,1.626,-74.951,-66.284,-70.557
0.054,-1.458,1.510,-93.384,-47.241,-90.698
0.089,-1.347,1.413,-98.633,-45.227,-106.262
0.231,-1.211,1.396,-88.745,-50.354,-118.286
0.225,-1.313,1.505,-76.599,-78.064,-129.150
0.270,-1.361,1.488,-67.078,-113.403,-146.606
0.281,-1.302,1.377,-62.134,-129.822,-162.476
0.254,-1.320,1.379,-60.547,-133.362,-175.476
0.171,-1.455,1.445,-66.040,-129.822,-182.373
0.074,-1.426,1.361,-80.383,-123.840,-188.782
0.049,-1.389,1.206,-92.407,-121.094,-201.904
-0.015,-1.301,0.992,-95.337,-121.460,-215.942
-0.054,-1.239,0.859,-87.585,-120.544,-228.516
-0.073,-1.254,0.877,-78.369,-114.014,-241.760
-0.175,-1.262,0.896,-71.533,-104.553,-259.827
-0.249,-1.203,0.798,-60.547,-105.469,-284.363
-0.328,-1.154,0.706,-47.974,-114.563,-305.603
-0.362,-1.111,0.526,-39.734,-115.417,-319.031
-0.283,-0.918,0.205,-38.940,-103.394,-327.454
-0.022,-0.631,-0.016,-35.522,-83.862,-329.041
0.398,-0.425,-0.004,-30.701,-57.190,-312.683
0.765,-0.297,0.066,-40.894,-22.888,-278.687
1.132,-0.082,0.119,-71.289,6.653,-240.356
1.304,0.097,0.169,-104.553,19.653,-195.923
1.176,0.175,-0.090,-120.544,16.418,-157.227
1.071,0.133,-0.485,-107.910,-2.319,-142.029
1.015,0.025,-0.580,-67.200,-26.855,-151.550
1.103,0.123,-0.562,-26.672,-35.156,-177.917
1.325,0.374,-0.534,1.709,-25.024,-196.289
1.547,0.474,-0.349,21.545,-4.211,-191.650
1.813,0.530,-0.151,22.766,21.545,-177.124
2.061,0.811,0.079,8.972,44.922,-158.508
2.073,0.997,0.223,-2.869,54.504,-134.827
1.914,1.010,0.315,-2.869,48.828,-113.037
1.719,1.001,0.336,3.174,34.424,-97.778
1.565,1.012,0.355,9.216,20.569,-84.167
1.400,0.961,0.433,13.855,12.817,-69.519
1.247,1.000,0.440,13.428,9.460,-58.777
1.068,1.038,0.432,10.010,6.775,-47.546
0.875,0.943,0.444,7.812,4.883,-31.494
0.690,0.795,0.494,7.385,5.127,-18.188
0.520,0.697,0.586,6.775,5.432,-10.254
0.349,0.587,0.647,7.263,4.150,-4.761
0.178,0.484,0.675,12.695,-1.892,-2.075
0.083,0.388,0.755,23.132,-11.658,-2.136
-0.013,0.322,0.809,31.006,-19.165,-1.770
-0.084,0.257,0.835,33.203,-20.996,0.427
-0.126,0.138,0.887,31.555,-19.836,4.333
-0.150,0.054,0.934,26.489,-14.893,7.263
-0.182,0.009,0.967,18.799,-7.141,9.827
-0.199,-0.017,0.994,11.536,-0.671,14.160
