aX,aY,aZ,gX,gY,gZ
2.322,1.462,0.995,9.155,57.739,-222.656
2.439,1.648,0.963,8.545,44.495,-207.947
2.490,1.897,0.926,25.452,28.870,-192.932
2.410,2.102,0.950,52.979,15.808,-172.363
2.546,2.160,1.043,73.669,13.123,-147.400
2.514,2.320,1.156,76.416,14.587,-118.896
2.544,2.478,1.084,63.416,47.302,-89.844
2.221,2.590,1.242,31.494,34.485,-45.410
2.085,2.479,1.254,-4.028,5.493,4.639
2.019,2.261,1.020,-26.428,-9.460,43.701
1.835,2.099,0.743,-30.640,-21.729,68.909
1.704,1.958,0.508,-15.503,-33.752,85.876
1.602,1.843,0.446,10.742,-48.157,101.868
1.595,1.726,0.472,34.241,-55.664,117.188
1.585,1.607,0.490,45.898,-51.208,131.165
1.569,1.459,0.509,42.664,-38.940,144.470
1.564,1.337,0.520,30.029,-23.682,159.424
1.514,1.227,0.589,16.357,-8.240,175.720
1.421,1.072,0.688,5.249,3.906,192.993
1.339,0.879,0.745,-2.502,9.827,207.642
1.270,0.701,0.798,-6.531,5.798,217.590
1.225,0.611,0.773,-7.019,-4.028,224.731
1.178,0.525,0.714,-4.761,-13.794,231.628
1.098,0.441,0.646,-4.333,-18.188,242.065
1.040,0.312,0.562,-10.681,-13.123,251.038
1.002,0.268,0.451,-22.522,2.808,256.470
0.904,0.279,0.377,-32.593,24.231,260.254
0.787,0.186,0.348,-33.569,45.349,263.611
0.730,0.015,0.372,-25.574,61.890,261.353
0.721,-0.174,0.534,-10.681,73.853,252.747
0.736,-0.297,0.731,4.639,81.604,242.004
0.784,-0.414,0.934,21.790,85.144,232.971
0.817,-0.504,1.093,36.987,82.336,227.295
0.882,-0.469,1.162,43.274,72.693,222.290
0.910,-0.410,1.184,47.058,59.143,218.018
0.951,-0.406,1.155,49.866,42.419,219.177
1.020,-0.463,1.058,47.302,24.231,228.455
0.913,-0.720,1.055,45.166,14.099,245.850
0.752,-1.090,1.127,36.743,19.531,261.169
0.632,-1.289,1.120,14.587,37.048,260.315
0.506,-1.328,1.097,-2.502,53.955,245.850
0.333,-1.381,1.128,1.160,60.242,230.957
0.250,-1.358,1.091,13.672,53.650,217.407
0.123,-1.396,1.080,25.146,39.368,202.209
-0.005,-1.422,1.090,30.640,28.198,189.148
-0.057,-1.433,1.024,26.001,27.100,177.979
-0.114,-1.514,0.956,21.240,32.104,168.091
-0.128,-1.604,0.920,21.851,39.917,157.410
-0.065,-1.563,0.918,25.391,49.561,143.066
-0.042,-1.538,1.050,31.860,55.542,127.930
-0.003,-1.599,1.269,33.508,60.242,121.643
-0.057,-1.693,1.404,20.020,61.096,118.469
-0.098,-1.735,1.458,-0.793,59.875,109.497
-0.129,-1.694,1.473,-12.451,52.551,95.276
-0.175,-1.637,1.451,-7.568,31.860,76.538
-0.151,-1.551,1.344,6.470,4.089,56.030
-0.124,-1.503,1.210,22.095,-18.433,37.903
-0.130,-1.431,1.077,30.945,-28.442,21.484
-0.109,-1.329,0.972,31.128,-23.743,9.216
-0.109,-1.320,0.911,27.649,-12.512,4.761
-0.063,-1.451,0.949,21.851,6.348,2.075
-0.030,-1.388,1.061,6.348,22.705,-6.836
-0.063,-1.307,1.255,-9.949,24.780,-8.606
-0.048,-1.254,1.369,-20.264,25.940,-9.277
0.024,-1.196,1.347,-25.879,31.921,-12.268
0.073,-1.127,1.291,-30.518,29.724,-14.709
0.090,-1.104,1.240,-36.316,14.648,-14.526
0.130,-1.069,1.157,-43.274,0.916,-13.367
0.145,-1.042,1.071,-47.241,-3.784,-14.771
0.131,-1.031,1.014,-51.880,-4.883,-22.461
0.129,-0.938,0.936,-57.251,-0.793,-34.546
0.179,-0.818,0.888,-56.824,1.953,-44.922
0.208,-0.723,0.893,-50.049,0.793,-53.162
0.221,-0.563,0.884,-43.030,-3.113,-61.279
0.231,-0.415,0.865,-38.086,-9.460,-66.162
0.239,-0.338,0.873,-35.706,-14.282,-64.209
0.249,-0.277,0.868,-39.124,-15.381,-57.495
0.254,-0.251,0.830,-45.898,-12.024,-51.208
0.126,-0.682,1.047,-13.367,2.075,2.075
0.101,-0.742,1.030,-16.052,-1.160,-0.732
